# This CSV file was created by downloading the Excel spreadsheet
# elife-100574-table3-data1-v1.xlsx from the Marino et al 2025 eLife
# paper (https://doi.org/10.7554/eLife.100574.3), then converting the
# spreadsheet to CSV using Excel.
Clade,Species,TaxId,Phylum,Class,Order,Family,Accession_assembly,BUSCO_Duplicate,Genome_size,MaxLongevity_y,Source_MaxLongevity,Mass_g,Source_mass,MaxLongevity_y_log,Mass_g_log,n_markers_phylter_noshortbr,dN_CM_phylter_noshortbr,dS_CM_phylter_noshortbr,dNdS_CM_phylter_noshortbr,n_markers_trimmed,dN_CM_phylter_noshortbr_trimmed,dS_CM_phylter_noshortbr_trimmed,dNdS_CM_phylter_noshortbr_trimmed,brlen_coevol_gcpoor,dS_coevol_gcpoor,dNdS_coevol_gcpoor,brlen_coevol_gcrich,dS_coevol_gcrich,dNdS_coevol_gcrich,Overall_repeat_bp,Overall_repeat_gsperc,DNA_bp,DNA_gsperc,RC_bp,RC_gsperc,LTR_bp,LTR_gsperc,PLE_bp,PLE_gsperc,LINE_bp,LINE_gsperc,SINE_bp,SINE_gsperc,Retroposon_bp,Retroposon_gsperc,Unknown_bp,Unknown_gsperc,Other_bp,Other_gsperc,DNA_recent_gsperc,LINE_recent_gsperc,LTR_recent_gsperc,Other_recent_gsperc,Overall_TEs_recent_gsperc,PLE_recent_gsperc,RC_recent_gsperc,Retroposon_recent_gsperc,SINE_recent_gsperc,Unknown_recent_gsperc,DNA_recent_bp,LINE_recent_bp,LTR_recent_bp,Other_recent_bp,Overall_TEs_recent_bp,PLE_recent_bp,RC_recent_bp,Retroposon_recent_bp,SINE_recent_bp,Unknown_recent_bp
Aves,Quiscalus_mexicanus,64278,Chordata,Aves,Passeriformes,Icteridae,GCA_013399035.1,0.6,1266262137,12.5,AnAge,169,CRC_AvianBodyMasses,2.525728644,5.129898715,520,0.007680396,0.042003065,0.182853221,NA,NA,NA,NA,0.0768934,0.149332,0.202126,0.0547573,0.289919,0.133033,201924508,16.06,44796,NA,8220,NA,34257392,2.72,12392,NA,22925604,1.82,153164,0.01,NA,NA,139586396,11.1,4936544,0.39,0.003410241,0.38672967,1.289029587,NA,10.97095389,0.000540648,0.00049906,NA,0.003950889,9.286793799,43183,4897011,16322494,NA,138921035,6846,6319,NA,50029,117595154
Aves,Setophaga_kirtlandii,298831,Chordata,Aves,Passeriformes,Parulidae,GCA_013399655.1,0.4,1271685649,9,AnAge,15.5,AnAge,2.197224577,2.740840024,592,0.015781466,0.11003046,0.143428159,772,0.017091958,0.124208551,0.137606933,0.134367,0.24242,0.176866,0.11403,0.307804,0.110814,467405876,37.03,216080,0.01,2456,NA,34235356,2.71,2760,NA,17936968,1.42,197888,0.01,1860,NA,405375400,32.11,9437108,0.74,0.007064228,0.363536043,1.45339177,NA,25.98766477,0.000209001,0.000167201,0.000167201,0.004556218,24.15840591,89835,4623036,18482575,NA,330481403,2658,2126,2126,57941,307218981
Aves,Diglossa_brunneiventris,547948,Chordata,Aves,Passeriformes,Thraupidae,GCA_019023105.1,1.6,1312345595,NA,NA,12,CRC_AvianBodyMasses,NA,2.48490665,594,0.013407646,0.086906507,0.154276666,774,0.013404926,0.087053963,0.1539841,0.123609,0.196923,0.19096,0.113712,0.305953,0.143166,198901040,15.25,149052,0.01,47052,NA,31296340,2.4,48164,NA,24680424,1.89,69660,NA,4524,NA,134050116,10.28,8555708,0.65,0.00752501,0.739776931,1.503223441,NA,11.59403435,0.003146823,0.000866516,0.000228031,0.001550608,9.337716994,98754,9708430,19727487,NA,152153799,41297,11372,2993,20349,122543118
Aves,Passerina_amoena,142471,Chordata,Aves,Passeriformes,Fringillidae,GCA_013401095.1,0.6,1359420000,9.9,AnAge,15.5,CRC_AvianBodyMasses,2.292534757,2.740840024,493,0.012064442,0.071779512,0.168076393,644,0.011908664,0.071226369,0.16719459,0.0900351,0.238137,0.181829,0.0905142,0.38551,0.172114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aves,Pheucticus_melanocephalus,371919,Chordata,Aves,Passeriformes,Fringillidae,GCA_013398405.1,0.8,1274894177,25,AnAge,47.15,CRC_AvianBodyMasses,3.218875825,3.853334009,528,0.010928411,0.067731021,0.161350163,689,0.011220604,0.068082189,0.164809686,0.0900351,0.213726,0.193024,0.0905142,0.257568,0.141243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aves,Melospiza_melodia,44397,Chordata,Aves,Passeriformes,Passerellidae,GCA_013398205.1,1.3,1398540000,11.3,AnAge,20,CRC_AvianBodyMasses,2.424802726,2.995732274,606,0.011702453,0.077654741,0.150698499,803,0.021903787,0.154362225,0.141898624,0.071325,0.257677,0.183736,0.0689213,0.385181,0.129643,330461240,23.83,83156,NA,131940,NA,33358740,2.4,27164,NA,21460916,1.54,192388,0.01,NA,NA,266996508,19.25,8210428,0.59,0.002865691,0.39329948,1.208288779,NA,16.00202065,0.000966338,0.005464807,NA,0.004998299,14.38600396,40078,5500451,16898402,NA,223794660,13515,76428,NA,69903,201194020
Aves,Zonotrichia_albicollis,44394,Chordata,Aves,Passeriformes,Passerellidae,GCA_000385455.1,0.5,1300740000,14.9,AnAge,24.4,CRC_AvianBodyMasses,2.701361213,3.194583132,551,0.013000634,0.079302241,0.163937789,NA,NA,NA,NA,0.071325,0.290433,0.189771,0.0689213,0.390634,0.119049,218197980,16.95,117436,NA,13208,NA,37028776,2.87,56796,NA,17731416,1.37,92100,NA,NA,NA,155958332,12.12,7199916,0.55,0.010039927,0.501712744,1.838015702,NA,11.90633258,0.004452736,0.000652312,NA,0.00226891,9.549190254,130593,6525978,23907805,NA,154870430,57919,8485,NA,29513,124210137
Aves,Fringilla_coelebs_coelebs,1471794,Chordata,Aves,Passeriformes,Fringillidae,GCA_015532645.2,0.8,1209942219,29,AnAge,21.4,CRC_AvianBodyMasses,3.36729583,3.063390922,591,0.015343043,0.102048531,0.150350455,763,0.015173401,0.101845629,0.148984308,0.183324,0.17874,0.20337,0.154396,0.241723,0.134368,249381188,20.75,134112,0.01,21360,NA,27643304,2.3,26800,NA,17715392,1.47,196712,0.01,584,NA,190395952,15.84,13246972,1.1,0.008377535,0.277751182,1.006405224,NA,12.41048006,0.00057446,0.000239358,4.78716E-05,0.005026521,11.11205791,101363,3360629,12176922,NA,150159638,6951,2896,579,60818,134449480
Aves,Hemignathus_wilsoni,2518271,Chordata,Aves,Passeriformes,Fringillidae,GCA_009690805.1,0.8,1255487331,13,AnAge,28,AnAge,2.564949357,3.33220451,587,0.011773656,0.068568456,0.171706589,NA,NA,NA,NA,0.137809,0.142164,0.194976,0.120563,0.263643,0.13905,125181524,10.05,38808,NA,1796,NA,26108992,2.09,15192,NA,17061068,1.37,157252,0.01,868,NA,77997872,6.26,3799676,0.3,0.002713712,0.205807923,1.088017622,NA,5.987498109,0.000542742,7.23657E-05,7.23657E-05,0.001953873,4.68824514,34070,2583892,13659923,NA,75172280,6814,909,909,24531,58860324
Aves,Loxia_curvirostra,64802,Chordata,Aves,Passeriformes,Fringillidae,GCA_013398455.1,0.9,1250373598,16.1,AnAge,36.4,CRC_AvianBodyMasses,2.778819272,3.594568775,470,0.003815825,0.021364298,0.178607568,810,0.016651089,0.113080788,0.147249497,0.0271709,0.172848,0.224866,0.0344953,0.201759,0.109279,279957340,22.58,73084,NA,NA,NA,50848376,4.1,1888,NA,21082244,1.7,81304,NA,2592,NA,202453160,16.33,5414692,0.43,0.002171344,0.482774433,2.986407754,NA,15.86446544,0.00014721,NA,0.000110407,0.000846456,12.39197103,27150,6036484,37341254,NA,198365087,1841,NA,1381,10584,154945934
Aves,Loxia_leucoptera,96539,Chordata,Aves,Passeriformes,Fringillidae,GCA_013396895.1,0.9,1249812354,4,AnAge,25.2,CRC_AvianBodyMasses,1.386294361,3.226843995,434,0.004170312,0.02040999,0.204326976,NA,NA,NA,NA,0.0271709,0.180956,0.211012,0.0344953,0.31428,0.10669,287623768,23.18,66480,NA,10212,NA,42770016,3.44,1644,NA,20845768,1.68,140728,0.01,3976,NA,216118800,17.42,7666144,0.61,0.00531807,0.4142948,2.215705204,NA,16.61176331,0.000128663,0.000514652,0.000343101,0.003002136,13.97194203,66466,5177908,27692157,NA,207615870,1608,6432,4288,37521,174623058
Aves,Montifringilla_adamsi,356906,Chordata,Aves,Passeriformes,Passeridae,GCA_017590115.1,1,1273528056,NA,NA,NA,NA,NA,NA,566,0.006524714,0.037485526,0.174059557,NA,NA,NA,NA,0.0850766,0.128542,0.202557,0.0929132,0.145501,0.146791,211212492,16.78,15248,NA,NA,NA,18238004,1.44,NA,NA,15190464,1.2,45252,NA,NA,NA,145541568,11.56,32181956,2.55,0.001105108,0.26964646,0.793099492,NA,10.07879949,NA,NA,NA,0.000184185,9.008896649,14074,3434023,10100345,NA,128356339,NA,NA,NA,2346,114730826
Aves,Pyrgilauda_ruficollis,221976,Chordata,Aves,Passeriformes,Passeridae,GCA_017590135.1,1,1271812441,NA,NA,NA,NA,NA,NA,525,0.005709972,0.032244861,0.177081601,NA,NA,NA,NA,0.0850766,0.110098,0.202118,0.0929132,0.108021,0.140334,163958776,13.02,13368,NA,6308,NA,16623528,1.32,NA,NA,17541924,1.39,45420,NA,57052,NA,123381636,9.8,6289540,0.49,0.001116483,0.28811287,0.60265922,NA,8.215803419,NA,9.05256E-05,0.00075438,0.001056132,7.322013809,14200,3664255,7664695,NA,104489610,NA,1151,9594,13432,93122283
Aves,Onychostruthus_taczanowskii,356909,Chordata,Aves,Passeriformes,Passeridae,GCA_017590055.1,0.5,1256985165,NA,NA,NA,NA,NA,NA,574,0.008095562,0.046041398,0.175832233,NA,NA,NA,NA,0.101604,0.132668,0.202744,0.122301,0.115707,0.156973,115691364,9.31,12368,NA,4132,NA,14044208,1.13,NA,NA,14109344,1.13,9040,NA,NA,NA,80946120,6.51,6566152,0.52,0.000854646,0.23337173,0.637378844,NA,6.2512803,NA,0.000293785,NA,0.000667692,5.378713603,10743,2933448,8011758,NA,78577666,NA,3693,NA,8393,67609632
Aves,Passer_domesticus,48849,Chordata,Aves,Passeriformes,Passeridae,GCA_001700915.1,0.7,1535460000,23,AnAge,27.7,CRC_AvianBodyMasses,3.135494216,3.321432413,525,0.005918508,0.035826215,0.165200485,NA,NA,NA,NA,0.0719868,0.145527,0.241326,0.0601728,0.220332,0.100039,337793160,22.24,165060,0.01,NA,NA,27743772,1.82,2304,NA,21613468,1.42,4564,NA,NA,NA,278993176,18.37,9270816,0.61,0.006472693,0.448634192,1.046163526,NA,14.85469152,0.000115998,NA,NA,0.000324795,13.35242352,99386,6888599,16063422,NA,228087846,1781,NA,NA,4987,205021122
Aves,Passer_montanus,9160,Chordata,Aves,Passeriformes,Passeridae,GCA_014805655.1,0.9,1264528564,13.1,AnAge,22,CRC_AvianBodyMasses,2.57261223,3.091042453,563,0.00632209,0.038947641,0.162322791,809,0.026012172,0.18144882,0.143358177,0.0719868,0.142787,0.228465,0.0601728,0.224996,0.103012,159189096,12.74,32148,NA,NA,NA,18852824,1.5,NA,NA,15039568,1.2,71808,NA,NA,NA,121193764,9.69,3998984,0.32,0.002016054,0.312249651,0.885764005,NA,9.039641991,NA,NA,NA,0.000504014,7.839108267,25494,3948486,11200739,NA,114308855,NA,NA,NA,6373,99127763
Aves,Urocynchramus_pylzowi,571890,Chordata,Aves,Passeriformes,Fringillidae,GCA_013397555.1,0.7,1253572731,NA,NA,NA,NA,NA,NA,601,0.022080311,0.138308407,0.159645475,787,0.021498184,0.139501649,0.154107026,0.257366,0.16386,0.191834,0.219176,0.237577,0.146115,231999108,18.64,114912,NA,42268,NA,24186876,1.94,1840,NA,25859332,2.07,214312,0.01,5200,NA,173575192,13.94,7999176,0.64,0.008482799,0.469799936,1.038969807,NA,13.51314271,0.000129839,0.000995431,0.000302957,0.005453228,11.98892216,106338,5889284,13024242,NA,169397072,1628,12478,3798,68360,150289859
Aves,Peucedramus_taeniatus,135441,Chordata,Aves,Passeriformes,Fringillidae,GCA_013400575.1,0.4,1261578687,NA,NA,11,CRC_AvianBodyMasses,NA,2.397895273,566,0.024154208,0.156749635,0.154094189,744,0.024218258,0.160819433,0.150592859,0.270554,0.180308,0.202222,0.23348,0.236585,0.120548,287729024,22.97,162616,0.01,20692,NA,39811736,3.17,8588,NA,28307164,2.26,211596,0.01,NA,NA,208501296,16.64,10705336,0.85,0.013634171,0.467426272,1.780127718,NA,15.76822257,0.000217105,0.00047763,NA,0.008814448,13.49717786,172006,5896950,22457712,NA,198928535,2739,6026,NA,111201,170277519
Aves,Ploceus_nigricollis,441696,Chordata,Aves,Passeriformes,Ploceidae,GCA_013399945.1,0.8,1259068377,NA,NA,27.1,CRC_AvianBodyMasses,NA,3.299533728,593,0.0184788,0.11546893,0.160032658,772,0.018523711,0.116618504,0.158840242,0.277698,0.12308,0.180094,0.253005,0.173735,0.125845,209826420,16.78,119676,NA,2840,NA,31037496,2.48,7596,NA,30072368,2.4,236944,0.01,1096,NA,143981072,11.52,4367332,0.34,0.008667615,0.559470836,1.242832508,NA,11.74509277,0.000258735,0.00017249,8.62449E-05,0.00560592,9.927998423,109131,7044120,15648111,NA,147878749,3258,2172,1086,70582,125000289
Aves,Dicaeum_eximium,667154,Chordata,Aves,Passeriformes,Dicaeidae,GCA_013396995.1,0.9,1234369456,NA,NA,7.9,CRC_AvianBodyMasses,NA,2.066862759,606,0.030517938,0.190183897,0.160465413,797,0.030401271,0.191633041,0.158643161,0.319251,0.148602,0.197748,0.28314,0.268142,0.129095,206298396,16.83,147144,0.01,488,NA,26219036,2.14,41572,NA,20618244,1.68,175684,0.01,21168,NA,149413008,12.19,9662052,0.78,0.010291073,0.287847367,1.150135514,NA,11.86586667,0.002983546,NA,0.000216199,0.004107781,10.41028519,127030,3553100,14196921,NA,146468634,36828,NA,2669,50705,128501381
Aves,Certhia_americana,186443,Chordata,Aves,Passeriformes,Certhiidae,GCA_018697195.1,1.7,1173600000,NA,NA,8.1,CRC_AvianBodyMasses,NA,2.091864062,533,0.006012259,0.034814987,0.172691677,NA,NA,NA,NA,0.04368,0.202029,0.193831,0.0495373,0.245557,0.129978,127533008,10.94,33180,NA,NA,NA,19781592,1.69,25572,NA,17114552,1.46,101196,NA,1720,NA,86776884,7.44,3698312,0.31,0.002680608,0.228729007,0.901220554,NA,6.378239698,0.001510888,NA,NA,0.003265468,5.240833172,31460,2684364,10576724,NA,74855021,17732,NA,NA,38324,61506418
Aves,Certhia_brachydactyla,73330,Chordata,Aves,Passeriformes,Certhiidae,GCA_013400355.1,0.5,1251003170,NA,NA,8.2,CRC_AvianBodyMasses,NA,2.104134154,533,0.005760878,0.036797135,0.156557796,NA,NA,NA,NA,0.04368,0.169183,0.198047,0.0495373,0.287795,0.133664,161901148,13.03,75960,NA,8416,NA,22077552,1.77,548,NA,21160508,1.7,160052,0.01,2768,NA,116030524,9.34,2384820,0.19,0.006477637,0.286560362,0.751620374,NA,8.693117446,4.28983E-05,0.000300288,0.000214491,0.003903741,7.643997654,81035,3584879,9402795,NA,108751175,537,3757,2683,48836,95626653
Aves,Polioptila_caerulea,66707,Chordata,Aves,Passeriformes,Certhiidae,GCA_013397295.1,0.6,1349640000,4.2,AnAge,5.8,CRC_AvianBodyMasses,1.435084525,1.757857918,599,0.017594287,0.119365502,0.147398426,779,0.018042773,0.121223728,0.148838624,0.178413,0.190551,0.182046,0.152646,0.269446,0.108267,184868140,13.79,77520,NA,12068,NA,31861824,2.37,4712,NA,27270644,2.03,278356,0.02,1904,NA,118263052,8.82,7098060,0.52,0.00617669,0.414726359,1.125933821,NA,9.058498903,0.000403705,0.000645928,8.0741E-05,0.008477809,7.50205385,83363,5597313,15196053,NA,122257125,5449,8718,1090,114420,101250720
Aves,Thryothorus_ludovicianus,74200,Chordata,Aves,Passeriformes,Certhiidae,GCA_013397245.1,0.6,1254217809,9.2,AnAge,17.2,CRC_AvianBodyMasses,2.219203484,2.844909384,588,0.021830615,0.154396781,0.141392938,775,0.022511267,0.157567562,0.142867396,0.178413,0.252701,0.185844,0.152646,0.33763,0.135592,196169264,15.76,64068,NA,11016,NA,32088236,2.57,10064,NA,24986252,2,3882168,0.31,1176,NA,111362876,8.94,23763408,1.9,0.005519671,0.44504436,1.1635215,NA,8.925140302,0.000167263,0.00029271,0.000125447,0.221581327,7.088888025,69229,5581826,14593094,NA,111940699,2098,3671,1573,2779112,88910096
Aves,Sitta_europaea,50251,Chordata,Aves,Passeriformes,Sittidae,GCA_013400255.1,1.2,1241311070,12.9,AnAge,22.6,CRC_AvianBodyMasses,2.557227311,3.117949906,589,0.031313739,0.206310861,0.151779402,769,0.03002934,0.201641574,0.148924348,0.272087,0.195047,0.19637,0.229132,0.325142,0.114669,183449876,14.88,98676,NA,9156,NA,29653676,2.4,4756,NA,21605008,1.75,118332,NA,1376,NA,125406008,10.17,6552888,0.53,0.007422092,0.33377456,1.178355949,NA,10.29026968,0.000307424,0.000351342,8.78354E-05,0.004391771,8.765578708,92131,4143181,14627063,NA,127734257,3816,4361,1090,54516,108808099
Aves,Cyanistes_caeruleus,156563,Chordata,Aves,Passeriformes,Paridae,GCA_002901205.1,0.4,1442464030,14.6,AnAge,10.6,CRC_AvianBodyMasses,2.681021529,2.360854001,607,0.029157994,0.195006316,0.149523329,791,0.029648389,0.19969009,0.148472011,0.302301,0.182829,0.183551,0.26027,0.277878,0.120706,162356424,11.36,41320,NA,19296,NA,22362760,1.56,2932,NA,16176800,1.13,56108,NA,668,NA,121502280,8.5,2194260,0.15,0.002036515,0.17058644,0.862549078,NA,7.74195428,0.00011314,0.000989973,5.65699E-05,0.000905118,6.704717446,29376,2460648,12441960,NA,111674906,1632,14280,816,13056,96713137
Aves,Chloebia_gouldiae,44316,Chordata,Aves,Passeriformes,Passeridae,GCA_003676055.1,3,1301829493,NA,NA,13.8,CRC_AvianBodyMasses,NA,2.624668592,599,0.017052794,0.09401431,0.181385089,773,0.017093353,0.095168689,0.179611103,0.133122,0.208581,0.219938,0.101128,0.327572,0.135391,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aves,Taeniopygia_guttata,59729,Chordata,Aves,Passeriformes,Estrildidae,GCA_003957565.4,1.2,1222500000,12,AnAge,12.05,CRC_AvianBodyMasses,2.48490665,2.48906466,615,0.016768975,0.100294287,0.167197706,802,0.016535006,0.10263023,0.161112433,0.133122,0.193446,0.214707,0.101128,0.383262,0.133507,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aves,Vidua_chalybeata,81927,Chordata,Aves,Passeriformes,Estrildidae,GCA_013398495.1,1.4,1134480000,NA,NA,12.5,CRC_AvianBodyMasses,NA,2.525728644,618,0.016367104,0.095967555,0.170548309,810,0.016272564,0.097971446,0.166094966,0.197646,0.139145,0.194302,0.169861,0.192187,0.157762,92321096,8.19,70364,NA,3836,NA,19174292,1.7,2380,NA,18208072,1.61,186416,0.01,2524,NA,52625768,4.67,2047444,0.18,0.007934135,0.242221476,0.739051917,NA,5.453566368,0.000102376,0.000204752,5.1188E-05,0.006193744,4.45780678,90011,2747954,8384396,NA,61869620,1161,2323,581,70267,50572926
Aves,Irena_cyanogastra,175120,Chordata,Aves,Passeriformes,Irenidae,GCA_013397155.1,0.8,1260391003,NA,NA,NA,NA,NA,NA,591,0.023947813,0.161005313,0.14873927,770,0.024354565,0.165489093,0.147167193,0.304788,0.147845,0.199047,0.238349,0.243998,0.118048,314932444,25.17,133140,0.01,6424,NA,32009688,2.55,15340,NA,26350224,2.1,167368,0.01,2052,NA,227126408,18.15,29121800,2.32,0.008449851,0.451958697,1.442194569,NA,16.19710772,0.000953317,0.000433326,NA,0.005459904,14.2874414,106501,5696447,18177291,NA,204146889,12016,5462,NA,68816,180077626
Aves,Leptocoma_aspasia,2585812,Chordata,Aves,Passeriformes,Nectariniidae,GCA_013399835.1,1.7,1259427466,NA,NA,NA,NA,NA,NA,604,0.024336823,0.152532338,0.159551893,792,0.024874515,0.155505557,0.159959012,0.325841,0.133727,0.190234,0.268844,0.202708,0.134157,194176460,15.52,69672,NA,14788,NA,22107952,1.76,8364,NA,26425156,2.11,252912,0.02,5828,NA,141327516,11.29,3964272,0.31,0.005371332,0.408221207,0.787475589,NA,10.32768001,0.000527542,0.000431625,0.000239792,0.008009039,9.117355924,67648,5141250,9917684,NA,130069639,6644,5436,3020,100868,114826485
Aves,Promerops_cafer,254652,Chordata,Aves,Passeriformes,Nectariniidae,GCA_013398275.1,0.7,1269099912,NA,NA,34.85,CRC_AvianBodyMasses,NA,3.551053137,604,0.022618967,0.141718689,0.159604687,780,0.022692952,0.142064379,0.159737103,0.344454,0.114525,0.182301,0.315036,0.151492,0.140424,99154796,7.89,39084,NA,NA,NA,28073540,2.23,4800,NA,20955584,1.66,53180,NA,NA,NA,48126704,3.83,1901904,0.15,0.004707099,0.343356743,1.257580028,NA,4.662643356,0.000116225,NA,NA,0.000697348,3.056185913,59738,4357540,15959947,NA,59173603,1475,NA,NA,8850,38786053
Aves,Anthoscopus_minutus,156561,Chordata,Aves,Passeriformes,Paridae,GCA_013399455.1,0.1,1190556372,NA,NA,6.6,CRC_AvianBodyMasses,NA,1.887069649,577,0.03315796,0.218089179,0.15203854,768,0.032834513,0.223118758,0.147161598,0.349985,0.168544,0.212116,0.309407,0.318834,0.101443,368887420,31.21,76116,NA,7064,NA,54268312,4.59,27868,NA,31317880,2.65,189600,0.01,1828,NA,274100616,23.19,8898136,0.75,0.004935843,1.222698057,2.956121253,NA,23.76424439,0.001794852,8.97426E-05,4.48713E-05,0.009602458,19.56846373,58764,14556910,35194290,NA,282926726,21369,1068,534,114323,232973592
Aves,Bombycilla_garrulus,125297,Chordata,Aves,Passeriformes,Bombycillidae,GCA_013400315.1,0.3,1255027726,13.5,AnAge,56.4,CRC_AvianBodyMasses,2.602689685,4.032469159,598,0.024959312,0.153432649,0.162672756,782,0.024876408,0.154173305,0.161353538,0.227188,0.183353,0.202905,0.205292,0.302483,0.137398,349778972,28.07,62368,NA,162516,0.01,48011952,3.85,188604,0.01,22631928,1.81,174336,0.01,716,NA,266018356,21.35,12528196,1,0.004420242,0.428248524,2.285351102,NA,20.75273722,0.006866396,0.006995141,NA,0.005450202,18.01523396,55475,5374638,28681790,NA,260452606,86175,87791,NA,68402,226096181
Aves,Phainopepla_nitens,161653,Chordata,Aves,Passeriformes,Bombycillidae,GCA_013400175.1,0.3,1789740000,NA,NA,22.1,CRC_AvianBodyMasses,NA,3.095577609,586,0.020895695,0.125067322,0.167075577,762,0.020809989,0.127147347,0.16366829,0.227188,0.154179,0.190581,0.205292,0.215716,0.156611,543934820,30.61,163548,NA,22072,NA,61459544,3.45,9252,NA,28188136,1.58,242044,0.01,3128,NA,382603624,21.53,71243472,4.01,0.009067786,0.381152317,2.468605463,NA,22.2085951,0.000335844,0.000854875,0.000183188,0.006075722,19.34057962,162290,6821635,44181619,NA,397476110,6011,15300,3279,108740,346146090
Aves,Catharus_fuscescens,159581,Chordata,Aves,Passeriformes,Turdidae,GCA_013398975.1,0.6,1310520000,10.1,AnAge,31.9,CRC_AvianBodyMasses,2.312535424,3.46260601,589,0.018074664,0.122312577,0.147774372,770,0.018755053,0.125170975,0.149835479,0.208595,0.166373,0.197763,0.164186,0.24304,0.0936984,300252720,23.06,789320,0.06,53672,NA,48751612,3.74,1976,NA,25426068,1.95,214268,0.01,860,NA,207696352,15.95,17318592,1.33,0.033921193,0.522690559,2.016651803,NA,14.24948208,9.21772E-05,0.00290358,NA,0.007927235,11.66363634,444544,6849964,26428625,NA,186742313,1208,38052,NA,103888,152854287
Aves,Sialia_sialis,172413,Chordata,Aves,Passeriformes,Turdidae,GCA_009812075.1,0.5,1251840000,10.5,AnAge,27.5,CRC_AvianBodyMasses,2.351375257,3.314186005,568,0.021669858,0.148011897,0.14640619,746,0.022104669,0.15088226,0.146502772,0.208595,0.184378,0.205108,0.164186,0.33527,0.0981414,310386472,24.96,1026404,0.08,17808,NA,37920580,3.05,34392,NA,18937948,1.52,135760,0.01,4900,NA,236031672,18.98,16277008,1.3,0.037909559,0.487316036,1.794246912,NA,16.51482014,0.002175518,0.000277726,0.000416589,0.005647089,14.18683071,474567,6100417,22461101,NA,206739124,27234,3477,5215,70693,177596422
Aves,Cercotrichas_coryphoeus,614051,Chordata,Aves,Passeriformes,Muscicapidae,GCA_013398595.1,0.6,1252284504,NA,NA,NA,NA,NA,NA,584,0.011796329,0.067615452,0.174462029,753,0.011847179,0.069403513,0.170699991,0.121257,0.161121,0.204975,0.127972,0.199114,0.124175,284467244,22.87,53536,NA,1696,NA,42120608,3.38,33628,NA,24145904,1.94,110340,NA,2152,NA,172539712,13.87,45459668,3.65,0.003913494,0.672893369,1.944278222,NA,13.55015301,0.001501689,4.55057E-05,9.10115E-05,0.002593827,10.92483589,49008,8426539,24347895,NA,169686466,18805,570,1140,32482,136810027
Aves,Copsychus_sechellarum,797021,Chordata,Aves,Passeriformes,Muscicapidae,GCA_013398635.1,0.6,1279207629,NA,NA,71,CRC_AvianBodyMasses,NA,4.262679877,600,0.012247104,0.074153222,0.165159432,782,0.012120908,0.074020575,0.16375052,0.121257,0.156796,0.21189,0.127972,0.204038,0.111523,401878264,31.63,64936,NA,15320,NA,54488916,4.28,27696,NA,18050936,1.42,78152,NA,28480,NA,312028244,24.55,17095584,1.34,0.003500231,0.365129405,2.54029296,NA,21.44108212,0.001151392,0.000829002,0.001519837,0.002671229,18.52594201,44775,4670763,32495621,NA,274275958,14729,10605,19442,34171,236985264
Aves,Erithacus_rubecula,37610,Chordata,Aves,Passeriformes,Turdidae,GCA_903797595.2,0.8,1321138176,19.3,AnAge,17.7,CRC_AvianBodyMasses,2.960105096,2.87356464,615,0.020102255,0.130476022,0.15406858,805,0.020355197,0.135152455,0.150609157,0.150799,0.233976,0.192885,0.119276,0.362222,0.131641,431630764,32.88,52464,NA,NA,NA,48324204,3.68,149480,0.01,13791288,1.05,53004,NA,736,NA,158693384,12.09,210566204,16.04,0.00441801,0.49670398,2.896603839,NA,14.72996755,0.00934225,NA,NA,0.00147267,11.3214268,58368,6562146,38268139,NA,194603225,123424,NA,NA,19456,149571692
Aves,Saxicola_maurus_maurus,1187130,Chordata,Aves,Passeriformes,Muscicapidae,GCA_900205225.1,0.4,1240807982,NA,NA,NA,NA,NA,NA,597,0.014758194,0.093136832,0.158457118,786,0.01534394,0.095490087,0.160686203,0.150799,0.184,0.195944,0.119276,0.29236,0.122796,207333936,16.88,67944,NA,3872,NA,32866084,2.67,696,NA,16065328,1.3,112276,NA,4536,NA,102584876,8.35,55628324,4.53,0.004501906,0.412392751,1.891133027,NA,9.561686541,6.04283E-05,0.000241713,0.000241713,0.002447345,7.250667657,55860,5117002,23465330,NA,118642170,750,2999,2999,30367,89966863
